Model,Accuracy,Precision,Recall,F1-Score,AUC
Baseline CNN,0.578125,0.0,0.0,0.0,0.4654654654654654
Compact CNN,0.421875,0.421875,1.0,0.5934065934065934,0.6336336336336336
